name,address,latitude,longitude,games,cabs,game_counts,source
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F,43.7640056,142.3571151,chunithm;drs;maimai_dx;ongeki;other;polaris_chord;taiko,,,allnet;eagate;ziv
ソユーゲームフィールド発寒店,札幌市西区発寒8条12-1-1イオンモール札幌発寒3F,43.0952043,141.2779132,drs;polaris_chord,,,eagate
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮７−１−１イオンモール盛岡南２Ｆ,39.6835670,141.1286694,chunithm;maimai_dx;ongeki;other;polaris_chord,,,allnet;eagate;ziv
ソユーゲームフィールド菖蒲店,久喜市菖蒲町菖蒲6005-1モラージュ菖蒲3F,36.0751407,139.6116324,polaris_chord;popn,popn_pikapika,,eagate
ソユースペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ,40.6066860,140.4958836,chunithm;iidx;jubeat;maimai_dx;ongeki;other;polaris_chord;popn;reflec,iidx_lm,,allnet;eagate;ziv
ソユートイズニューヨーク守谷店,守谷市百合ケ丘3-249-1イオンタウン守谷2F,35.9448689,139.9912010,jubeat;polaris_chord;reflec,,,eagate
ソユーファミリーゲームフィールド防府店,山口県防府市鐘紡町７−１イオンタウン防府1F,34.0483850,131.5902076,chunithm;maimai_dx;ongeki;other;polaris_chord,,,allnet;eagate;ziv
ソユーフォレストハンター松前店,愛媛県伊予郡松前町筒井８５０ＡＭ棟１階,33.7878677,132.7148652,chunithm;maimai_dx;ongeki;other;polaris_chord,,,allnet;eagate;ziv
タイトーFステーション向ヶ丘遊園店,神奈川県川崎市多摩区登戸2718-1,35.6164678,139.5650747,chunithm;gitadora;iidx;maimai_dx;ongeki;polaris_chord;popn;sdvx,gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:1;gitadora:2;iidx:1;maimai_dx:1;ongeki:1;popn:1;sdvx:1,allnet;eagate;ziv
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５,38.2610006,140.8756067,chunithm;ddr;drs;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,chunithm:2;ddr:2;drs:1;gitadora:2;iidx:3;jubeat:2;maimai_dx:2;nostalgia:2;ongeki:2;popn:2;sdvx:3;taiko:1,allnet;eagate;ziv
タイトーステーション 千歳店,北海道千歳市北栄２−１２−５,42.8333942,141.6450539,chunithm;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;project_diva;sdvx;taiko,sdvx_vm,,allnet;eagate;ziv
