name,address,latitude,longitude,games,cabs,game_counts,source
アミパラ津山店,岡山県津山市河辺１０００−１イオンモール津山２Ｆ,35.0650815,134.0464219,chunithm;iidx;maimai_dx;ongeki;other;sdvx,iidx_lm;sdvx_vm,,allnet;eagate;ziv
アミパラ鈴鹿店,三重県鈴鹿市西条町字東澤430-1,34.8752638,136.5711436,chunithm;iidx;maimai_dx;ongeki;polaris_chord,iidx_lm,,allnet;eagate
アミパラ高知店,高知県南国市篠原１９４−１,33.5679737,133.6344573,chunithm;ddr;gitadora;iidx;maimai_dx;ongeki;other;polaris_chord;project_diva;sdvx,ddr_gold;iidx_lm;sdvx_vm,,allnet;eagate;ziv
アミュージアム南アルプス店,南アルプス市小笠原1423-1トライアル南アルプス店1F,35.6180690,138.4672320,jubeat;nostalgia;reflec,,,eagate
アミュージアム津島店,愛知県津島市大字津島字北新開351番地ﾖｼﾂﾞﾔ津島本店ｼﾈﾏ館2F,35.1746003,136.7464136,chunithm;maimai_dx;ongeki;other;popn,,,allnet;eagate;ziv
アミューズジョイBOX,那覇市首里儀保町3-16,26.2244989,127.7195189,iidx,,,eagate
アミューズスペースミール,兵庫県三田市対中町５−２１,34.8806357,135.2295503,chunithm;gitadora;iidx;jubeat;nostalgia;other;popn;project_diva;sdvx,gitadora_dm_arena;gitadora_gf_arena;iidx_lm;sdvx_vm,,allnet;eagate;ziv
アミューズパーク郡山,福島県郡山市安積町日出山2丁目80,37.3744131,140.3839021,chunithm;iidx;jubeat;other;sdvx,iidx_lm;sdvx_vm,,allnet;eagate;ziv
アミューズビバ,茨城県ひたちなか市東大島２−１１−１１,36.4063750,140.5318511,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;polaris_chord;popn;project_diva;sdvx,ddr_gold;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル,35.6922777,140.0201815,chunithm;ddr;gitadora;iidx;jubeat;maimai_dx;nostalgia;ongeki;other;polaris_chord;popn;sdvx;taiko,ddr_gold;gitadora_dm_arena;gitadora_gf_arena;iidx_lm;popn_pikapika;sdvx_vm,,allnet;eagate;ziv
